"TSS Code","Source Site","Study Name","BCR"
"e3fdcf13-7898-4ba4-91c7-ee21d428c220","5P","University Hospital Erlangen","Kidney renal papillary cell carcinoma","NCH"
"a051e284-93e0-40bd-a99d-7a889d925a20","5Q","Proteogenex, Inc","Pancreatic adenocarcinoma","NCH"
"3f88a66c-a5ed-4ca7-96cc-335da3a37de9","5R","Proteogenex, Inc","Liver hepatocellular carcinoma","NCH"
"9fe591bb-c771-403d-a2dd-b49d3c983076","5S","Holy Cross","Uterine Corpus Endometrial Carcinoma","NCH"
"59251d8a-2c72-4298-90ed-05c9b296a7ef","5T","Holy Cross","Breast invasive carcinoma","NCH"
"99b1aba2-61f6-4493-b450-9f13cd069527","5U","Regina Elena National Cancer Institute","Thymoma","NCH"
"0f9a92d1-03c7-48f2-8c69-9f7cf1e3acf6","5V","Roswell Park","Thymoma","NCH"
"44b035ed-2fc0-4a21-aea4-7e7a3a09d710","5W","University of Alabama","Uterine Corpus Endometrial Carcinoma","NCH"
"17c907c3-240a-41ce-a90b-64d460519d75","5X","University of Alabama","Ovarian serous cystadenocarcinoma","NCH"
"00b52edf-62ed-4227-add6-11726e7e8031","5Y","Mary Bird Perkins Cancer Center - Our Lady of the Lake","Liver hepatocellular carcinoma","NCH"
"75ec39c5-825c-4b70-b2a3-87f307748735","5Z","Mary Bird Perkins Cancer Center - Our Lady of the Lake","Pancreatic adenocarcinoma","NCH"
"0dd2a610-5ee9-4069-9416-f3715c7ab984","60","Roswell Park","Lung squamous cell carcinoma","IGC"
"3c6ddc36-2b17-4ffa-9f6b-8890ab8f3f09","61","University of Pittsburgh","Ovarian serous cystadenocarcinoma","IGC"
"96300697-c50e-4e90-be02-20c5873917db","62","Thoraxklinik at University Hospital Heidelberg","Lung adenocarcinoma","IGC"
"35ec46d5-714a-448f-be6d-dfaba171c9bf","63","Ontario Institute for Cancer Research","Lung squamous cell carcinoma","IGC"
"03dd9b14-461f-4fa1-a411-d807e03ce926","64","Fox Chase","Lung adenocarcinoma","IGC"
"41ee4977-d7bd-4409-9c44-ec1a413e4c21","65","Roswell Park","Glioblastoma multiforme","IGC"
"bc7bbcfa-318a-411b-a72a-e839c82432cf","66","Indivumed","Lung squamous cell carcinoma","IGC"
"f6f3daec-9477-4b2e-b888-dad61e069ee6","67","St Joseph's Medical Center (MD)","Lung adenocarcinoma","IGC"
"160f3497-0e3e-4533-9531-4d739d728a4e","68","Washington University - Cleveland Clinic","Lung squamous cell carcinoma","IGC"
"fb15116c-f206-4d25-bae3-4967c3c94371","69","Washington University - Cleveland Clinic","Lung adenocarcinoma","IGC"
"1cf4852e-36ef-47a2-8592-1d95d284fd2e","6A","University of Kansas","Lung squamous cell carcinoma","NCH"
"bb4181dc-e6a1-40c5-8700-e206560274fe","6B","University of Kansas","Lung adenocarcinoma","NCH"
"42dd26f9-8531-489c-8c20-74daf7b42ddb","6C","Columbia University","Kidney renal papillary cell carcinoma","NCH"
"623dd821-60da-4e7f-8823-ed7192817f3f","6D","University of Oklahoma HSC","Kidney renal clear cell carcinoma","NCH"
"0e57fcde-2d7e-490f-98e3-5e8e8da1ba3a","6E"," University of Southern California","Uterine Corpus Endometrial Carcinoma","NCH"
"836813c3-78c0-4105-874e-601d0db91991","6F"," University of Southern California","Ovarian serous cystadenocarcinoma","NCH"
"9ff96016-337c-4385-aa55-dc0893811638","6G","University of Sao Paulo","Rectum adenocarcinoma","NCH"
"9ef85945-203b-46bb-b749-39ac5e53f911","70","ILSBio","Lung squamous cell carcinoma","IGC"
"25369ce4-b55b-4ca0-b1de-f1f5e505f3bd","71","ILSBio","Lung adenocarcinoma","IGC"
"552e834a-eeb3-4816-9dc1-ddc8290bc6e0","72","NCH","Ovarian serous cystadenocarcinoma","IGC"
"dcefb740-8a37-4020-9215-46671678b2ec","73","Roswell Park","Lung adenocarcinoma","IGC"
"c6774816-e344-4201-9835-338ce4f37e25","74","Swedish Neurosciences","Glioblastoma multiforme","IGC"
"89ac493c-a7b8-4fd4-a1f5-f63d0933a700","75","Ontario Institute for Cancer Research (OICR)","Lung adenocarcinoma","IGC"
"cd4bb439-64da-48ad-88d6-509aae125fa4","76","Thomas Jefferson University","Glioblastoma multiforme","IGC"
"157cfa31-9578-4ee3-afd6-919d008629b4","77","Prince Charles Hospital","Lung squamous cell carcinoma","IGC"
"1cbb1c66-b9df-49f5-a6bc-d80875ee9edb","78","Prince Charles Hospital","Lung adenocarcinoma","IGC"
"b566150d-3ea2-4ec2-a439-6066c19696ff","79","Ontario Institute for Cancer Research (OICR)/Ottawa","Lung squamous cell carcinoma","IGC"
"fa2200fe-ae20-4d60-b4de-a4ddd2ae278a","80","Ontario Institute for Cancer Research (OICR)/Ottawa","Lung adenocarcinoma","IGC"
"542ab460-948e-46fa-8c4c-a2ec8396fe98","81","CHI-Penrose Colorado","Glioblastoma multiforme","IGC"
"4add2ea3-fa4e-45f9-b2ce-8bf3ec05b8ac","82","CHI-Penrose Colorado","Lung squamous cell carcinoma","IGC"
"c6f35ff8-a08b-41ce-bd73-66fc4c985869","83","CHI-Penrose Colorado","Lung adenocarcinoma","IGC"
"32b09144-324c-4e8f-aacc-f9d1bf0b0a62","84","Asterand","Glioblastoma multiforme","IGC"
"ae954eb1-e5a4-4952-adfa-9c923ad8bb37","85","Asterand","Lung squamous cell carcinoma","IGC"
"0a82ce99-652f-44c3-9cdf-9ce472890ffe","86","Asterand","Lung adenocarcinoma","IGC"
"90d05ab6-259a-4b98-bb96-d6abba36e8b6","87","International Genomics Consortium","Glioblastoma multiforme","IGC"
"899e0067-1109-4c63-93f9-f56b85e4aaa5","88","ABS - Blokhin","Lung squamous cell carcinoma","IGC"
"be72d651-24ab-4f15-bbc8-45786bc8168b","89","ABS - Blokhin","Lung adenocarcinoma","IGC"
"dd0882f3-d7ce-44b4-a2d5-3fbbf6dce8a7","90","ABS - IUPUI","Lung squamous cell carcinoma","IGC"
"cb773314-4c46-4344-a416-de24ca5a5ecf","91","ABS - IUPUI","Lung adenocarcinoma","IGC"
"1860953a-26fd-4d06-abb4-1d6896bdb357","92","Washington University - St. Louis","Lung squamous cell carcinoma","IGC"
"28b76357-87d5-475e-873e-f3e88ba2c10b","93","Washington University - St. Louis","Lung adenocarcinoma","IGC"
"221f6f1f-e5eb-4097-b22d-601cbad90953","94","Washington University - Emory","Lung squamous cell carcinoma","IGC"
"a7cf24d7-7860-4279-8888-92d43b2a3f58","95","Washington University - Emory","Lung adenocarcinoma","IGC"
"44d16172-c690-4c88-adf1-15cff8497c1f","96","Washington University - NYU","Lung squamous cell carcinoma","IGC"
"a23b6b6a-13cd-4e15-b05a-8e152a27c5a4","97","Washington University - NYU","Lung adenocarcinoma","IGC"
"809fc356-d907-4b44-abde-593da915b302","98","Washington University - Alabama","Lung squamous cell carcinoma","IGC"
"a9399f7d-ba30-4550-9205-2784043c4150","99","Washington University - Alabama","Lung adenocarcinoma","IGC"
"480ee313-5fb5-4acf-b963-96c652647c7b","A1","UCSF","Breast invasive carcinoma","NCH"
"ef5998e6-f749-41e6-8667-4793de313464","A2","Walter Reed","Breast invasive carcinoma","NCH"
"b20e5b40-23ea-4d29-a89e-79eb73b32d4b","A3","International Genomics Consortium","Kidney renal clear cell carcinoma","IGC"
"90d0775a-04cc-422b-ba6e-536d4fe3c727","A4","International Genomics Consortium","Kidney renal papillary cell carcinoma","IGC"
"0a57df0d-b13f-4081-b2f1-cd452837bbc2","A5","Cedars Sinai","Uterine Corpus Endometrial Carcinoma","NCH"
"ef1103d9-807f-4515-86a9-e3d18b08240b","A6","Christiana Healthcare","Colon adenocarcinoma","IGC"
"e282aa61-fac3-47c9-a424-0074589997b1","A7","Christiana Healthcare","Breast invasive carcinoma","NCH"
"91ba9fb5-dcfd-47c1-aad5-3f8e8d19ff48","A8","Indivumed","Breast invasive carcinoma","NCH"
"29e25b07-1a89-4837-8b54-6e4e2f94dd96","AA","Indivumed","Colon adenocarcinoma","IGC"
"f0254b77-ab01-4c8e-a58a-7732d49be370","AB","Washington University","Acute Myeloid Leukemia","NCH"
"8c239d9f-fc90-4532-b567-4564b23d07e6","AC","International Genomics Consortium","Breast invasive carcinoma","NCH"
"4f54ea1b-a045-4c6c-aff3-964f85d5c8db","AD","International Genomics Consortium","Colon adenocarcinoma","IGC"
"70c28eb5-0b84-430d-a2ba-b5bcea16f9db","AE","Washington University","Colon adenocarcinoma","IGC"
"a160ab15-66cd-4093-9996-02dd1fe01c89","AF","Christiana Healthcare","Rectum adenocarcinoma","IGC"
"3bb83945-8b15-4b00-8bda-7deec1c6c4d1","AG","Indivumed","Rectum adenocarcinoma","IGC"
"96f337dd-3a37-4070-a622-0ed8f3a47065","AH","International Genomics Consortium","Rectum adenocarcinoma","IGC"
"2e3c6c32-f7ee-40c5-b629-02d7f90aa68b","AI","Washington University","Rectum adenocarcinoma","IGC"
"fbf05100-2123-4660-a8ea-3020a72dcff6","AJ","International Genomics Conosrtium","Uterine Corpus Endometrial Carcinoma","NCH"
"1c41f48b-9d67-4e8f-ae43-7b47074d824b","AK","Fox Chase","Kidney renal clear cell carcinoma","IGC"
"277c5561-1b8b-48d5-acda-d0a8e2f8fa86","AL","Fox Chase","Kidney renal papillary cell carcinoma","IGC"
"7b6891df-c2a9-41cb-b6ff-0541a61ffb81","AM","Cureline","Colon adenocarcinoma","IGC"
"53ea7cc0-dcf8-4cc8-bc52-47cf03a067aa","AN","Cureline","Breast invasive carcinoma","NCH"
"83b07ed4-58df-4ca6-a9bc-c1d513fefaf4","AO","MSKCC","Breast invasive carcinoma","NCH"
"63635ab5-81d2-41f3-9772-cbbc5f0b6486","AP","MSKCC","Uterine Corpus Endometrial Carcinoma","NCH"
"c07f42cf-ea11-4472-9192-ef63259f80a2","AQ","UNC ","Breast invasive carcinoma","NCH"
